task,feature_set,model_name,cv_splits,imbalance_strategy,cv_best_auprc,validation_threshold,selected_feature_count,val_precision,val_recall,val_f1,val_auroc,val_auprc,test_precision,test_recall,test_f1,test_auroc,test_auprc,val_tp,val_fp,val_tn,val_fn,test_tp,test_fp,test_tn,test_fn,best_params_json,source
fatality,tornado_only,logistic_regression,3,class_weight=balanced,0.4251135612893681,0.9478932140658182,18,0.5091743119266054,0.4743589743589743,0.4911504424778761,0.929956217337969,0.4353722582768183,0.4851485148514851,0.4188034188034188,0.4495412844036697,0.9251908536315006,0.3995049894445234,111,107,9724,123,98,104,9727,136,"{""classifier__C"": 5.0}",existing_final_run
fatality,tornado_only,random_forest,3,class_weight=balanced_subsample,0.3790860016802313,0.7501070226899812,18,0.5024875621890548,0.43162393162393164,0.46436781609195404,0.9163517288326565,0.4035046581100306,0.44761904761904764,0.4017094017094017,0.42342342342342343,0.900802841526064,0.3589531670212343,101,100,9731,133,94,116,9715,140,"{""classifier__max_depth"": 20, ""classifier__max_features"": 0.5, ""classifier__min_samples_leaf"": 5, ""classifier__n_estimators"": 500}",new_comprehensive_run
fatality,tornado_only,xgboost,3,scale_pos_weight=42.0486,0.42975285823544623,0.9286406636238098,18,0.4820717131474104,0.5170940170940171,0.49896907216494846,0.9303261443175999,0.4480718307631778,0.44680851063829785,0.44871794871794873,0.44776119402985076,0.9220573417247204,0.40255444938812296,121,130,9701,113,105,130,9701,129,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.03, ""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 350, ""classifier__subsample"": 1.0}",new_comprehensive_run
fatality,tornado_only,svm,3,class_weight=balanced; linear_svm_for_tractability,0.42714651134727283,0.9241237911524816,18,0.5,0.4829059829059829,0.49130434782608695,0.9297227851545824,0.4404246079424629,0.48514851485148514,0.4188034188034188,0.44954128440366975,0.9252830093538058,0.40017385732537114,113,113,9718,121,98,104,9727,136,"{""classifier__C"": 0.01}",new_comprehensive_run
fatality,tornado_only,neural_network,3,balanced_sample_weight,0.42753266265847367,0.9251783434068633,18,0.48770491803278687,0.5085470085470085,0.497907949790795,0.9328925942444404,0.440118000785167,0.45614035087719296,0.4444444444444444,0.45021645021645024,0.9267727152988062,0.3994973369254451,119,125,9706,115,104,124,9707,130,"{""classifier__alpha"": 0.001, ""classifier__hidden_layer_sizes"": [128], ""classifier__learning_rate_init"": 0.001}",new_comprehensive_run
fatality,tornado_only,knn,3,no_native_class_weight_support_in_sklearn_knn; distance_weighting_only,0.2737773883399105,0.2300519052029488,18,0.4028268551236749,0.48717948717948717,0.4410058027079304,0.8868710263278466,0.33051878493236414,0.3776978417266187,0.44871794871794873,0.41015625,0.8459230221512797,0.2750669441032481,114,169,9662,120,105,173,9658,129,"{""classifier__n_neighbors"": 41, ""classifier__p"": 2}",new_comprehensive_run
fatality,county_enriched,logistic_regression,3,class_weight=balanced,0.4230278356010774,0.9430442440576988,44,0.5044642857142857,0.4829059829059829,0.4934497816593886,0.9313439868825892,0.4520851757027781,0.4705882352941176,0.4102564102564102,0.4383561643835616,0.926940073568087,0.385242976788419,113,111,9720,121,96,108,9723,138,"{""classifier__C"": 0.01}",existing_final_run
fatality,county_enriched,random_forest,3,class_weight=balanced_subsample,0.41103340515311704,0.5690512308206699,44,0.4896265560165975,0.5042735042735043,0.4968421052631579,0.9203709354762146,0.4519483353854467,0.41735537190082644,0.43162393162393164,0.42436974789915966,0.9148350716858498,0.3505479860031883,118,123,9708,116,101,141,9690,133,"{""classifier__max_depth"": 20, ""classifier__max_features"": 0.5, ""classifier__min_samples_leaf"": 5, ""classifier__n_estimators"": 500}",new_comprehensive_run
fatality,county_enriched,xgboost,3,scale_pos_weight=42.0486,0.43201394743403226,0.9326316118240356,44,0.5684210526315789,0.46153846153846156,0.5094339622641509,0.9332131831368938,0.4726827598140195,0.5151515151515151,0.4358974358974359,0.4722222222222222,0.925326044337335,0.4046694275443398,108,82,9749,126,102,96,9735,132,"{""classifier__colsample_bytree"": 1.0, ""classifier__learning_rate"": 0.03, ""classifier__max_depth"": 3, ""classifier__min_child_weight"": 1, ""classifier__n_estimators"": 350, ""classifier__subsample"": 1.0}",new_comprehensive_run
fatality,county_enriched,svm,3,class_weight=balanced; linear_svm_for_tractability,0.4215808109057914,0.9658073704624168,44,0.5326633165829145,0.452991452991453,0.4896073903002309,0.9302089935291034,0.4597712458178823,0.5027624309392266,0.3888888888888889,0.43855421686746987,0.9261189313066029,0.3891335346358333,106,93,9738,128,91,90,9741,143,"{""classifier__C"": 0.01}",new_comprehensive_run
fatality,county_enriched,neural_network,3,balanced_sample_weight,0.42037626789572385,0.9583286219293808,44,0.5123152709359606,0.4444444444444444,0.4759725400457666,0.9263388878890862,0.4348022910297909,0.45789473684210524,0.3717948717948718,0.41037735849056606,0.9186286706884815,0.33939817792303767,104,99,9732,130,87,103,9728,147,"{""classifier__alpha"": 0.01, ""classifier__hidden_layer_sizes"": [64], ""classifier__learning_rate_init"": 0.003}",new_comprehensive_run
