task,model_1_id,model_1_experiment_group,model_1_feature_set,model_1_name,model_2_id,model_2_experiment_group,model_2_feature_set,model_2_name,auc_1,auc_2,auc_diff,z,p_value,same_model_name,same_feature_set,same_experiment_group
fatality,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.9261958726407918,0.9233627362251103,0.002833136415681503,0.9631911749623875,0.3354515930405051,False,True,True
fatality,model_suite|county_selected|svm,model_suite,county_selected,svm,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.9256285933124505,0.9233627362251103,0.002265857087340173,0.7674144491520904,0.4428351403514885,False,True,True
fatality,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.9251908536315006,0.9233627362251103,0.0018281174063902172,0.6064964348764069,0.5441851490282739,False,False,False
fatality,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|logistic_regression,model_suite,county_selected,logistic_regression,0.9251908536315006,0.9261958726407918,-0.0010050190092912858,0.5101813729032164,0.6099244007624245,True,False,False
fatality,model_suite|county_selected|neural_network,model_suite,county_selected,neural_network,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.9220697305836153,0.9233627362251103,-0.0012930056414950375,0.49929053167505427,0.6175747244210485,False,True,True
fatality,baseline_logistic|tornado_only|logistic_regression,baseline_logistic,tornado_only,logistic_regression,model_suite|county_selected|svm,model_suite,county_selected,svm,0.9251908536315006,0.9256285933124505,-0.00043773968094995563,0.22456717665263304,0.8223160019249278,False,False,False
injury,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|xgboost,model_suite,county_selected,xgboost,0.8407529300661298,0.8715177972224514,-0.03076486715632154,8.00695517769166,1.1102230246251565e-15,False,True,True
injury,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|neural_network,model_suite,county_selected,neural_network,0.8407529300661298,0.870757690888339,-0.030004760822209153,7.8519342862854,3.9968028886505635e-15,False,True,True
injury,model_suite|county_selected|knn,model_suite,county_selected,knn,model_suite|county_selected|random_forest,model_suite,county_selected,random_forest,0.8407529300661298,0.8683391309222215,-0.027586200856091647,7.302904611711018,2.815525590449397e-13,False,True,True
injury,baseline_logistic|county_enriched|logistic_regression,baseline_logistic,county_enriched,logistic_regression,model_suite|county_selected|knn,model_suite,county_selected,knn,0.8677745861627072,0.8407529300661298,0.027021656096577362,7.017464258854928,2.2593038551121936e-12,False,False,False
