task,model_1_id,model_2_id,auc_1,auc_2,auc_diff,z,p_value,plot_file
fatality,baseline_logistic|county_enriched|logistic_regression,model_suite|county_selected|knn,0.926940073568087,0.8729898533072168,0.05395022026087026,5.477399803529609,4.316212609545289e-08,fatality_delong_significant_01.png
fatality,model_suite|county_selected|knn,model_suite|county_selected|logistic_regression,0.8729898533072168,0.9261958726407918,-0.05320601933357505,5.430265804307316,5.627017851672633e-08,fatality_delong_significant_02.png
fatality,model_suite|county_selected|knn,model_suite|county_selected|xgboost,0.8729898533072168,0.9233627362251103,-0.05037288291789355,5.416589254482235,6.074667302513603e-08,fatality_delong_significant_03.png
fatality,baseline_logistic|tornado_only|logistic_regression,model_suite|county_selected|knn,0.9251908536315006,0.8729898533072168,0.052201000324283764,5.403191386097333,6.546554409680994e-08,fatality_delong_significant_04.png
fatality,model_suite|county_selected|knn,model_suite|county_selected|svm,0.8729898533072168,0.9256285933124505,-0.05263874000523372,5.373159340672696,7.7368901729713e-08,fatality_delong_significant_05.png
fatality,model_suite|county_selected|knn,model_suite|county_selected|neural_network,0.8729898533072168,0.9220697305836153,-0.04907987727639851,5.304022507488845,1.1327833671082033e-07,fatality_delong_significant_06.png
fatality,model_suite|county_selected|knn,model_suite|county_selected|random_forest,0.8729898533072168,0.9106015595182516,-0.03761170621103482,4.3621074711178665,1.2881556179289433e-05,fatality_delong_significant_07.png
fatality,baseline_logistic|county_enriched|logistic_regression,model_suite|county_selected|random_forest,0.926940073568087,0.9106015595182516,0.01633851404983544,3.3396482169648976,0.0008388457468833099,fatality_delong_significant_08.png
fatality,model_suite|county_selected|logistic_regression,model_suite|county_selected|random_forest,0.9261958726407918,0.9106015595182516,0.015594313122540227,3.1819173466998913,0.0014630356445191062,fatality_delong_significant_09.png
fatality,baseline_logistic|tornado_only|logistic_regression,model_suite|county_selected|random_forest,0.9251908536315006,0.9106015595182516,0.01458929411324894,3.1115254574892637,0.0018612342522263958,fatality_delong_significant_10.png
fatality,model_suite|county_selected|random_forest,model_suite|county_selected|svm,0.9106015595182516,0.9256285933124505,-0.015027033794198896,3.0379469319813226,0.00238195897634208,fatality_delong_significant_11.png
fatality,model_suite|county_selected|random_forest,model_suite|county_selected|xgboost,0.9106015595182516,0.9233627362251103,-0.012761176706858723,2.7752883992413504,0.005515277605547819,fatality_delong_significant_12.png
fatality,model_suite|county_selected|neural_network,model_suite|county_selected|random_forest,0.9220697305836153,0.9106015595182516,0.011468171065363686,2.304870252150674,0.021173841105880165,fatality_delong_significant_13.png
fatality,model_suite|county_selected|logistic_regression,model_suite|county_selected|svm,0.9261958726407918,0.9256285933124505,0.0005672793283413302,2.1346332341462237,0.032790980554225246,fatality_delong_significant_14.png
fatality,baseline_logistic|county_enriched|logistic_regression,model_suite|county_selected|svm,0.926940073568087,0.9256285933124505,0.0013114802556365435,1.9808518810283893,0.04760788667271676,fatality_delong_significant_15.png
injury,model_suite|county_selected|knn,model_suite|county_selected|xgboost,0.8407529300661298,0.8715177972224514,-0.03076486715632154,8.00695517769166,1.1102230246251565e-15,injury_delong_significant_16.png
injury,model_suite|county_selected|knn,model_suite|county_selected|neural_network,0.8407529300661298,0.870757690888339,-0.030004760822209153,7.8519342862854,3.9968028886505635e-15,injury_delong_significant_17.png
injury,model_suite|county_selected|knn,model_suite|county_selected|random_forest,0.8407529300661298,0.8683391309222215,-0.027586200856091647,7.302904611711018,2.815525590449397e-13,injury_delong_significant_18.png
injury,baseline_logistic|county_enriched|logistic_regression,model_suite|county_selected|knn,0.8677745861627072,0.8407529300661298,0.027021656096577362,7.017464258854928,2.2593038551121936e-12,injury_delong_significant_19.png
injury,model_suite|county_selected|knn,model_suite|county_selected|logistic_regression,0.8407529300661298,0.8674517806175756,-0.02669885055144572,6.804370218014678,1.0149214801913331e-11,injury_delong_significant_20.png
injury,model_suite|county_selected|knn,model_suite|county_selected|svm,0.8407529300661298,0.8673861879321916,-0.026633257866061744,6.781711265649634,1.18760556944153e-11,injury_delong_significant_21.png
injury,baseline_logistic|tornado_only|logistic_regression,model_suite|county_selected|knn,0.8661282486869785,0.8407529300661298,0.02537531862084863,6.3470372216760635,2.1950108397561507e-10,injury_delong_significant_22.png
injury,baseline_logistic|tornado_only|logistic_regression,model_suite|county_selected|neural_network,0.8661282486869785,0.870757690888339,-0.004629442201360523,3.5522014009890683,0.00038202233486250847,injury_delong_significant_23.png
injury,model_suite|county_selected|logistic_regression,model_suite|county_selected|neural_network,0.8674517806175756,0.870757690888339,-0.0033059102707634347,3.4052237958394156,0.0006610985170456551,injury_delong_significant_24.png
injury,model_suite|county_selected|neural_network,model_suite|county_selected|svm,0.870757690888339,0.8673861879321916,0.0033715029561474097,3.2806794889069137,0.0010355735035425528,injury_delong_significant_25.png
injury,baseline_logistic|tornado_only|logistic_regression,model_suite|county_selected|xgboost,0.8661282486869785,0.8715177972224514,-0.00538954853547291,3.1671958624182017,0.001539166148269322,injury_delong_significant_26.png
injury,baseline_logistic|county_enriched|logistic_regression,model_suite|county_selected|neural_network,0.8677745861627072,0.870757690888339,-0.002983104725631791,3.005757431888448,0.002649202405347051,injury_delong_significant_27.png
injury,model_suite|county_selected|logistic_regression,model_suite|county_selected|xgboost,0.8674517806175756,0.8715177972224514,-0.004066016604875822,2.7275130305336153,0.00638137371421621,injury_delong_significant_28.png
injury,model_suite|county_selected|svm,model_suite|county_selected|xgboost,0.8673861879321916,0.8715177972224514,-0.004131609290259797,2.715543848784811,0.0066167013654565565,injury_delong_significant_29.png
