"task","original_test_auprc","downsampled_test_auprc","delta_test_auprc","original_test_auroc","downsampled_test_auroc","delta_test_auroc","original_test_f1","downsampled_test_f1","delta_test_f1","original_val_threshold","downsampled_val_threshold"
"fatality","0.404037760018546","0.354747451855178","-0.0492903081633677","0.92336273622511","0.917819482589089","-0.00554325363602148","0.478747203579418","0.387096774193548","-0.0916504293858699","0.93016642332077","0.969788789749146"
"injury","0.543066809277505","0.544704970723406","0.00163816144590145","0.871517797222451","0.872193528395988","0.000675731173536809","0.5211701308699","0.519834710743802","-0.00133542012609833","0.708093106746674","0.734601318836212"
