task,experiment_group,feature_set,model_name,cv_splits,imbalance_strategy,cv_best_auprc,validation_threshold,selected_feature_count,val_precision,val_recall,val_f1,val_auroc,val_auprc,test_precision,test_recall,test_f1,test_auroc,test_auprc
fatality,baseline_logistic,county_enriched,logistic_regression,3,class_weight=balanced,0.4230278356010774,0.9430442440576988,44,0.5044642857142857,0.4829059829059829,0.4934497816593886,0.9313439868825892,0.4520851757027781,0.4705882352941176,0.4102564102564102,0.4383561643835616,0.926940073568087,0.385242976788419
fatality,baseline_logistic,tornado_only,logistic_regression,3,class_weight=balanced,0.4251135612893681,0.9478932140658182,18,0.5091743119266054,0.4743589743589743,0.4911504424778761,0.929956217337969,0.4353722582768183,0.4851485148514851,0.4188034188034188,0.4495412844036697,0.9251908536315006,0.3995049894445234
fatality,model_suite,county_selected,random_forest,3,class_weight=balanced_subsample,0.4165772303391225,0.541918375664059,20,0.4696969696969697,0.5299145299145299,0.4979919678714859,0.921350090025708,0.4541888998472526,0.4214876033057851,0.4358974358974359,0.4285714285714285,0.9106015595182516,0.3565615856568963
fatality,model_suite,county_selected,logistic_regression,3,class_weight=balanced,0.427542041447214,0.9582394052891304,20,0.5755813953488372,0.4230769230769231,0.4876847290640394,0.9301398767373744,0.4439598212939361,0.5276073619631901,0.3675213675213675,0.4332493702770781,0.9261958726407918,0.3776538026905389
injury,baseline_logistic,county_enriched,logistic_regression,3,class_weight=balanced,0.5181639036741911,0.7421222795000165,44,0.4748520710059171,0.5568083261058109,0.5125748502994012,0.8662131104401757,0.5255747625727011,0.4723467862481315,0.5481352992194276,0.5074267362505018,0.8677745861627071,0.532638618256521
injury,baseline_logistic,tornado_only,logistic_regression,3,class_weight=balanced,0.5123877031429943,0.7567906550912771,18,0.4805598755832037,0.5359930615784909,0.5067650676506765,0.8612899122731894,0.5190564451908095,0.4847537138389367,0.5377276669557676,0.5098684210526315,0.8661282486869785,0.5279213797117758
injury,model_suite,county_selected,logistic_regression,3,class_weight=balanced,0.5187936417116988,0.7583574992631819,20,0.493259318001586,0.5394622723330442,0.5153272576636289,0.8659096712813813,0.5245362150069051,0.4872611464968153,0.5307892454466608,0.5080946450809465,0.8674517806175754,0.5334765449515352
injury,model_suite,county_selected,random_forest,3,class_weight=balanced_subsample,0.516715710396508,0.6376968424209207,20,0.5046102263202011,0.5221162185602776,0.5132139812446718,0.8642768610805316,0.508817486259815,0.4970414201183432,0.5099739809193409,0.5034246575342466,0.8683391309222214,0.526771180272583
