decade,rows,injury_positive,fatality_positive,injury_positive_rate,fatality_positive_rate,end_missing_rate,mag_missing_rate,wid_missing_rate,len_zero_rate,possible_segment_1km_rate,possible_segment_2km_rate
1950,4727,970,251,0.20520414639306114,0.05309921726253438,0.651152951131796,0.0,0.0,0.0,0.0025386079966151893,0.0033848106621535857
1960,6728,1104,197,0.16409036860879905,0.029280618311533887,0.7305291319857312,0.0,0.0,0.0,0.004161712247324614,0.005648038049940547
1970,8493,1533,277,0.18050158954433063,0.032615094783939716,0.727069351230425,0.0,0.0,0.0,0.001412928293889085,0.001412928293889085
1980,8111,1073,201,0.13228948341758107,0.024781161385772407,0.7456540500554802,0.0,0.0,0.0,0.002465787202564419,0.005178153125385279
1990,12044,1182,200,0.09814015277316507,0.016605778811026237,0.4588176685486549,0.0,0.028977084025240785,0.0020757223513782797,0.012869478578545333,0.021421454666223846
2000,12683,932,206,0.07348419143735709,0.016242213987226996,0.022155641409761097,0.0,0.009461483876054562,0.0076480327998107705,0.027359457541591106,0.048805487660648114
2010,11914,767,189,0.0643780426389122,0.015863689776733254,0.0,0.02492865536343797,0.0,0.0,0.025012590229981535,0.05388618432096693
2020,2396,125,38,0.052170283806343906,0.015859766277128547,0.0,0.1285475792988314,0.0,0.0,0.022954924874791317,0.05133555926544241
